requestedUrl,finalUrl,category,name,title,type,score
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","is-on-https","Uses HTTPS","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","no-vulnerable-libraries","Avoids front-end JavaScript libraries with known security vulnerabilities","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","csp-xss","Ensure CSP is effective against XSS attacks","informative","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","password-inputs-can-be-pasted-into","Allows users to paste into password fields","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","image-aspect-ratio","Displays images with correct aspect ratio","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","image-size-responsive","Serves images with appropriate resolution","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","preload-fonts","Fonts with `font-display: optional` are preloaded","notApplicable","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","doctype","Page has the HTML doctype","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","charset","Properly defines charset","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","js-libraries","Detected JavaScript libraries","notApplicable","-1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","deprecations","Avoids deprecated APIs","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","errors-in-console","No browser errors logged to the console","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","valid-source-maps","Page has valid source maps","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","Best Practices","inspector-issues","No issues in the `Issues` panel in Chrome Devtools","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","seo-score","Overall SEO Category Score","numeric","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","document-title","Document has a `<title>` element","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","meta-description","Document has a meta description","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","http-status-code","Page has successful HTTP status code","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","link-text","Links have descriptive text","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","crawlable-anchors","Links are crawlable","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","is-crawlable","Page isn’t blocked from indexing","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","robots-txt","robots.txt is valid","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","image-alt","Image elements have `[alt]` attributes","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","hreflang","Document has a valid `hreflang`","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","canonical","Document has a valid `rel=canonical`","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","font-size","Document uses legible font sizes","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","plugins","Document avoids plugins","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","tap-targets","Tap targets are sized appropriately","binary","1"
"http://localhost:3000/PrivaterAutomarkt7/","http://localhost:3000/PrivaterAutomarkt7/","SEO","structured-data","Structured data is valid","manual","-1"
